sourceId,referenceTime,air_temperature(-),air_temperature(-),min(air_temperature pt1h)(-),max(air_temperature pt1h)(-)
sn18700:0,2022-08-05T06:00:00.000Z,13.8,13.8,13.4,13.8
sn18700:0,2022-08-05T06:10:00.000Z,13.9,-,-,-
sn18700:0,2022-08-05T06:20:00.000Z,13.9,-,-,-
sn18700:0,2022-08-05T06:30:00.000Z,13.9,-,-,-
sn18700:0,2022-08-05T06:40:00.000Z,14.0,-,-,-
sn18700:0,2022-08-05T06:50:00.000Z,14.2,-,-,-
sn18700:0,2022-08-05T07:00:00.000Z,14.2,14.2,13.8,14.2
sn18700:0,2022-08-05T07:10:00.000Z,14.4,-,-,-
sn18700:0,2022-08-05T07:20:00.000Z,15.0,-,-,-
sn18700:0,2022-08-05T07:30:00.000Z,14.8,-,-,-
sn18700:0,2022-08-05T07:40:00.000Z,16.1,-,-,-
sn18700:0,2022-08-05T07:50:00.000Z,16.4,-,-,-
sn18700:0,2022-08-05T08:00:00.000Z,16.0,16.0,14.2,16.8
sn18700:0,2022-08-05T08:10:00.000Z,16.9,-,-,-
sn18700:0,2022-08-05T08:20:00.000Z,17.0,-,-,-
sn18700:0,2022-08-05T08:30:00.000Z,17.5,-,-,-
sn18700:0,2022-08-05T08:40:00.000Z,17.2,-,-,-
sn18700:0,2022-08-05T08:50:00.000Z,18.6,-,-,-
sn18700:0,2022-08-05T09:00:00.000Z,18.4,18.4,16.0,18.7
sn18700:0,2022-08-05T09:10:00.000Z,18.7,-,-,-
sn18700:0,2022-08-05T09:20:00.000Z,19.1,-,-,-
sn18700:0,2022-08-05T09:30:00.000Z,19.4,-,-,-
sn18700:0,2022-08-05T09:40:00.000Z,19.1,-,-,-
sn18700:0,2022-08-05T09:50:00.000Z,19.9,-,-,-
sn18700:0,2022-08-05T10:00:00.000Z,19.3,19.3,18.2,19.9
sn18700:0,2022-08-05T10:10:00.000Z,19.8,-,-,-
sn18700:0,2022-08-05T10:20:00.000Z,19.5,-,-,-
sn18700:0,2022-08-05T10:30:00.000Z,19.8,-,-,-
sn18700:0,2022-08-05T10:40:00.000Z,19.5,-,-,-
sn18700:0,2022-08-05T10:50:00.000Z,19.0,-,-,-
sn18700:0,2022-08-05T11:00:00.000Z,19.5,19.5,18.9,20.1
sn18700:0,2022-08-05T11:10:00.000Z,20.3,-,-,-
sn18700:0,2022-08-05T11:20:00.000Z,20.0,-,-,-
sn18700:0,2022-08-05T11:30:00.000Z,19.9,-,-,-
sn18700:0,2022-08-05T11:40:00.000Z,19.9,-,-,-
sn18700:0,2022-08-05T11:50:00.000Z,20.6,-,-,-
sn18700:0,2022-08-05T12:00:00.000Z,21.0,21.0,19.5,21.1
sn18700:0,2022-08-05T12:10:00.000Z,21.5,-,-,-
sn18700:0,2022-08-05T12:20:00.000Z,22.1,-,-,-
sn18700:0,2022-08-05T12:30:00.000Z,22.4,-,-,-
sn18700:0,2022-08-05T12:40:00.000Z,22.0,-,-,-
sn18700:0,2022-08-05T12:50:00.000Z,21.8,-,-,-
sn18700:0,2022-08-05T13:00:00.000Z,21.0,21.0,21.0,22.9
sn18700:0,2022-08-05T13:10:00.000Z,21.4,-,-,-
sn18700:0,2022-08-05T13:20:00.000Z,21.1,-,-,-
sn18700:0,2022-08-05T13:30:00.000Z,21.7,-,-,-
sn18700:0,2022-08-05T13:40:00.000Z,21.2,-,-,-
sn18700:0,2022-08-05T13:50:00.000Z,22.1,-,-,-
sn18700:0,2022-08-05T14:00:00.000Z,22.1,22.1,21.0,22.3
sn18700:0,2022-08-05T14:10:00.000Z,22.0,-,-,-
sn18700:0,2022-08-05T14:20:00.000Z,22.4,-,-,-
sn18700:0,2022-08-05T14:30:00.000Z,22.6,-,-,-
sn18700:0,2022-08-05T14:40:00.000Z,22.9,-,-,-
sn18700:0,2022-08-05T14:50:00.000Z,22.4,-,-,-
sn18700:0,2022-08-05T15:00:00.000Z,21.4,21.4,21.4,23.1
sn18700:0,2022-08-05T15:10:00.000Z,21.8,-,-,-
sn18700:0,2022-08-05T15:20:00.000Z,22.2,-,-,-
sn18700:0,2022-08-05T15:30:00.000Z,22.6,-,-,-
