,sourceId,referenceTime,air_temperature(-),air_temperature(-).1,min(air_temperature pt1h)(-),max(air_temperature pt1h)(-)
0,sn18700:0,2022-08-05T06:00:00.000Z,13.8,13.8,13.4,13.8
1,sn18700:0,2022-08-05T06:10:00.000Z,13.9,-,-,-
2,sn18700:0,2022-08-05T06:20:00.000Z,13.9,-,-,-
3,sn18700:0,2022-08-05T06:30:00.000Z,13.9,-,-,-
4,sn18700:0,2022-08-05T06:40:00.000Z,14.0,-,-,-
5,sn18700:0,2022-08-05T06:50:00.000Z,14.2,-,-,-
6,sn18700:0,2022-08-05T07:00:00.000Z,14.2,14.2,13.8,14.2
7,sn18700:0,2022-08-05T07:10:00.000Z,14.4,-,-,-
8,sn18700:0,2022-08-05T07:20:00.000Z,15.0,-,-,-
9,sn18700:0,2022-08-05T07:30:00.000Z,14.8,-,-,-
10,sn18700:0,2022-08-05T07:40:00.000Z,16.1,-,-,-
11,sn18700:0,2022-08-05T07:50:00.000Z,16.4,-,-,-
12,sn18700:0,2022-08-05T08:00:00.000Z,16.0,16.0,14.2,16.8
13,sn18700:0,2022-08-05T08:10:00.000Z,16.9,-,-,-
14,sn18700:0,2022-08-05T08:20:00.000Z,17.0,-,-,-
15,sn18700:0,2022-08-05T08:30:00.000Z,17.5,-,-,-
16,sn18700:0,2022-08-05T08:40:00.000Z,17.2,-,-,-
17,sn18700:0,2022-08-05T08:50:00.000Z,18.6,-,-,-
18,sn18700:0,2022-08-05T09:00:00.000Z,18.4,18.4,16.0,18.7
19,sn18700:0,2022-08-05T09:10:00.000Z,18.7,-,-,-
20,sn18700:0,2022-08-05T09:20:00.000Z,19.1,-,-,-
21,sn18700:0,2022-08-05T09:30:00.000Z,19.4,-,-,-
22,sn18700:0,2022-08-05T09:40:00.000Z,19.1,-,-,-
23,sn18700:0,2022-08-05T09:50:00.000Z,19.9,-,-,-
24,sn18700:0,2022-08-05T10:00:00.000Z,19.3,19.3,18.2,19.9
25,sn18700:0,2022-08-05T10:10:00.000Z,19.8,-,-,-
26,sn18700:0,2022-08-05T10:20:00.000Z,19.5,-,-,-
27,sn18700:0,2022-08-05T10:30:00.000Z,19.8,-,-,-
28,sn18700:0,2022-08-05T10:40:00.000Z,19.5,-,-,-
29,sn18700:0,2022-08-05T10:50:00.000Z,19.0,-,-,-
30,sn18700:0,2022-08-05T11:00:00.000Z,19.5,19.5,18.9,20.1
31,sn18700:0,2022-08-05T11:10:00.000Z,20.3,-,-,-
